year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
1998;6;0.0;0.0;444.058795287205;509.252245356844;5.41;701.066379093441;1.64
1998;7;0.01;1.119971802;443.673496617854;509.497644253001;5.36;705.322265351166;1.69
1998;8;0.02;0.168560883;445.722686723682;509.62011824259;5.21;697.972238969793;1.8
1998;9;0.07;-0.662745974;445.669453932186;509.681299033731;4.71;692.818516049364;2.28
1998;10;-0.14;2.113667928;446.350753841671;509.925648574978;4.12;693.970926872299;2.65
1998;11;-0.04;0.597032049;446.274911125217;510.047599809605;4.53;704.266197544263;2.51
1998;12;0.01;-0.129841577;446.726926084563;510.230248262208;4.52;708.175060202962;2.58
1999;1;0.0;0.0;447.15805059506;510.412563718359;4.51;712.991434585053;2.57
1999;2;0.01;0.104861059;447.764358560095;510.412563718359;4.7;712.815908060735;2.39
1999;3;-0.02;-0.24110749;447.99096382904;510.473261747537;4.78;715.591139169764;2.3
1999;4;0.0;0.0;448.22056243819;511.13851971964;4.69;719.650677939194;2.29
1999;5;0.03;-1.30828606;448.850827164029;511.198778835654;4.85;719.448940227205;2.18
1999;6;-0.07;1.613491951;448.772359372828;511.198778835654;5.1;718.731697020115;2.12
1999;7;0.0;0.0;449.349309604629;511.619578975675;5.03;723.055591225346;2.16
1999;8;0.025;0.580893666;449.750033920992;511.859243560135;5.2;719.104522013104;2.22
1999;9;0.0;0.0;449.345507816446;512.277279403311;5.25;718.399969005286;2.29
1999;10;0.045;-0.62595664;450.560396206326;512.455904041457;5.43;717.012723572774;2.27
1999;11;0.045;-0.348629574;451.043963816469;512.634210180823;5.55;723.777819192344;2.12
1999;12;-0.005;0.47870399;451.812317199984;512.871458216186;5.84;726.450622003302;1.91
2000;1;0.0;0.0;451.675418661452;513.167228913909;6.12;726.234104210159;1.67
2000;2;0.005;-0.333708048;451.987261232551;513.579843705026;6.22;723.624574586169;1.77
2000;3;-0.01;0.006455997;452.342202485519;514.166355650266;6.22;727.393193830968;2.11
2000;4;0.0;0.0;452.935660626624;514.107859012155;6.15;728.712278796843;2.41
2000;5;0.055;-0.639756231;453.206063831964;514.283246370764;6.33;725.734115474873;2.46
2000;6;-0.015;0.264980819;453.245109504603;514.865659199363;6.17;728.753328015432;2.39
2000;7;0.0;0.0;453.049836259244;515.155598515263;6.08;729.505641646263;2.29
2000;8;0.105;-0.169390195;452.777172919968;515.155598515263;6.18;730.347976757951;2.43
2000;9;0.0;0.0;453.237581222456;515.675380222625;6.13;729.169026853994;2.55
2000;10;0.02;-0.194353097;452.848242750686;515.848042136024;6.01;723.715974047734;2.6
2000;11;0.015;-0.635634306;452.87620319817;516.02040644184;6.09;722.841747872851;2.56
2000;12;0.01;-0.606750095;452.549366126139;516.24976434055;5.6;719.363322497604;2.78
2001;1;-0.18000000000000002;3.757386629;452.072279191047;516.820868120102;4.81;719.715836963215;2.77
